month,kwh,cost_yuan,avg_temp_c,notes
2024-01,403,311.95,5.8,冬季取暖用电增加
2024-02,431,330.15,8.9,冬季取暖用电增加
2024-03,334,217.1,8.3,正常月份
2024-04,334,217.1,10.1,正常月份
2024-05,251,163.15,17.4,正常月份
2024-06,614,429.1,18.0,异常：老旧冰箱故障导致高耗电
2024-07,487,396.55,17.2,夏季空调高负荷
2024-08,537,429.05,20.9,夏季空调高负荷
2024-09,265,172.25,22.2,正常月份
2024-10,329,213.85,28.8,正常月份
2024-11,268,174.2,30.3,正常月份
2024-12,435,332.75,32.2,冬季取暖用电增加
2025-01,400,310.0,6.9,冬季取暖用电增加
2025-02,420,323.0,9.1,冬季取暖用电增加
2025-03,503,426.95,11.2,异常：家庭聚会+高温持续空调全开
2025-04,267,173.55,11.2,正常月份
2025-05,283,183.95,17.7,正常月份
2025-06,508,410.2,15.1,夏季空调高负荷
